,Date,Match,Ground,Result
1,23/03/2019,1st Match: Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 7 Wickets
2,24/03/2019,2nd Match: Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 6 Wickets
3,24/03/2019,3rd Match: Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 37 Runs
4,25/03/2019,4th Match: Rajasthan Royals v Kings XI Punjab,Jaipur,Kings XI Punjab won by 14 Runs
5,26/03/2019,5th Match: Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 6 Wickets
6,27/03/2019,6th Match: Kolkata Knight Riders v Kings XI Punjab,Kolkata,Kolkata Knight Riders won by 28 Runs
7,28/03/2019,7th Match: Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 6 Runs
8,29/03/2019,8th Match: Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 5 Wickets
9,30/03/2019,10th Match: Delhi Capitals v Kolkata Knight Riders,Delhi,Match tied (Delhi Capitals won eliminator)
10,30/03/2019,9th Match: Kings XI Punjab v Mumbai Indians,"Mohali, Chandigarh",Kings XI Punjab won by 8 Wickets
11,31/03/2019,11th Match: Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 118 Runs
12,31/03/2019,12th Match: Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 8 Runs
13,01/04/2019,13th Match: Kings XI Punjab v Delhi Capitals,"Mohali, Chandigarh",Kings XI Punjab won by 14 Runs
14,02/04/2019,14th Match: Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 7 Wickets
15,03/04/2019,15th Match: Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 37 Runs
16,04/04/2019,16th Match: Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 5 Wickets
17,05/04/2019,17th Match: Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 5 Wickets
18,06/04/2019,18th Match: Chennai Super Kings v Kings XI Punjab,Chennai,Chennai Super Kings won by 22 Runs
19,06/04/2019,19th Match: Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 40 Runs
20,07/04/2019,20th Match: Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Delhi Capitals won by 4 Wickets
21,07/04/2019,21st Match: Rajasthan Royals v Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 8 Wickets
22,08/04/2019,22nd Match: Kings XI Punjab v Sunrisers Hyderabad,"Mohali, Chandigarh",Kings XI Punjab won by 6 Wickets
